DIETS,transient_killers,toothed_whales,gray_whales,baleen_whales,pinnipeds,walrus_bd_seals,nf_seal_juv,nf_seal_adu,ice_seals,oth_birds,murres_puffins,kittiwakes,auklets,fulmars,albatross,sharks,pollock_juv,pollock_adu,pcod_juv,pcod_adu,herring,arrowtooth_juv,arrowtooth_adu,kamchatka,gr_turbot_juv,gr_turbot_adu,halibut_juv,halibut_adu,yf_sole,fh_sole,nr_sole,ak_plaice,oth_flatfish,skates,sablefish,eelpouts,deep_demersals,pac_ocean_perch,oth_rockfish,north_rockfish,shortraker_rock,rougheye_rock,atka,shallow_demersals,lg_sculpins,octopus,squids,salmon_returning,salmon_smolts,mycto_bathy,capelin,sandlance,oth_forage,bairdi,king_crabs,opilio,pandalid,ben_zooplankton,motile_epifauna,structural_epifauna,infauna,jellyfish,pel_zooplankton,euphausiids,copepods,pelagic_microbes,benthic_microbes,lg_phytoplankton,sm_phytoplankton
transient_killers,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
toothed_whales,0.02615505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gray_whales,0.05383285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baleen_whales,0.8370397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinnipeds,0.02606792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
walrus_bd_seals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_juv,0.003140365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nf_seal_adu,0.05376409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
salmon_smolts,,7.16E-08,,3.49E-08,0.00260499,,0.01017294,0.01017294,,,,,,,7.78E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mycto_bathy,,0.007070036,,,,,0.04069176,0.04069176,,0.06333978,0.002031213,0.1197196,,,0.05643522,,0.000886442,0.003562087,,0.000001524,,,0.003417308,0.001184981,,0.1429895,,0.000123268,,6.14E-06,,,,,0.01400754,,,0.01706686,0.000756977,,0.002786344,0.001526008,,,,,0.025,,,,,,,,,,,,,,,0.000154548,,,,,,,
capelin,,0.03362704,,1.64E-02,0.052281,,0.155646,0.155646,0.08436113,2.85E-01,0.05466034,0.07088023,0.007547003,0.009957275,0.03655471,,0.000388707,0.000754583,1.58E-05,0.00415722,,,1.20E-02,,,,,0.03863942,1.82E-08,7.63E-04,,,0.03844704,,,0.000258464,,,,,,,,,0.01230053,,0.025,,,,,,,,,,,,,,,7.73E-05,,,,,,,
sandlance,,0.1187838,,5.79E-02,0.006775669,,0.01017294,0.01017294,,2.58E-01,0.1930816,0.2503766,0.02665894,0.03517297,0.1291254,,1.36E-03,0.001698248,0.005789488,0.02392983,,,0.00041741,,,,,0.03441628,0.005779819,0.002771757,0.1230233,0.007351537,,0.02571328,,,,,,,,,,,0.009370398,,0.025,,,,,,,,,,,,,,,7.73E-05,,,,,,,
oth_forage,,0.08869252,,4.32E-02,0.001675803,,,,,0.1646426,0.1441686,0.1869491,0.01990548,0.02626267,0.09641432,,,5.96E-04,0.003285663,0.007682642,,0.00424096,2.71E-02,0.02886952,,0.009589431,,0.002668215,0.000897436,0.006270323,0.000533218,1.29E-04,0.006891382,0.002307626,0.2279174,0.01207434,,,,,,,,,0.05790869,,0.075,,,,,,,,,,,,,,,0.000231822,,,,,,,
bairdi,,,0.000520719,4.37E-06,0.000792537,0.000868572,,,,7.54E-05,,,,,,,,0.000160954,3.90E-06,0.04809497,,,,0.001186927,,1.60E-09,,0.02601829,0.002411874,0.005842888,3.31E-05,,0.0053204,0.011134,,0.000682084,,,0.000024098,8.08E-05,,,0.003639044,0.01743571,0.005477415,0.05,,,,,,,,,,,,,0.001388284,,,,,,,,,,
king_crabs,,,0.000186623,1.57E-06,0.000418695,0.000458864,,,,2.70E-05,,,,,,,6.51E-07,0.000002238,0.000171834,0.00970518,,,,,,1.26E-06,,0.001824124,0.000128085,,,,,,,,,,,,,,,,0.01754265,,,,,,,,,,,,,,,,,,,,,,,,
opilio,,,0.001909877,1.60E-05,0.003581795,0.003925424,,,,2.77E-04,,,,,,,3.58E-08,2.98E-05,0.001273192,0.07391741,,,3.70E-09,,,2.41E-06,,0.03394224,0.00572401,0.007618726,0.000458218,0.006009945,1.18E-05,0.0300742,,0.09333689,,,,,,,,,0.03866288,0.05,,,,,,,,,,,,,0.001388284,,,,,,,,,,
pandalid,,,0.005112781,4.29E-05,0.0464552,0.007660371,,,0.02042168,0.000740251,,,,,,0.0025,0.000541083,0.03577532,0.009996153,0.05303508,,0.05432367,3.87E-02,0.02359953,,0.00254596,,0.00958025,0.000139882,0.0987733,0.000462312,,8.13E-02,0.001116002,0.001069132,,,,0.146369,,0.8301918,8.19E-04,,0.03017539,0.00746086,,,,,,,,,,,,,,0.001388284,,,,,,,,,,
ben_zooplankton,,,0.9154675,0.02924486,0.07699217,0.01269586,,,0.03384572,0.01013249,0.01176591,0.01090683,0.023268,0.000990019,,0.0025,0.1719598,0.0483655,0.8725743,0.1293546,2.43E-05,0.4403129,0.02409574,0.06043784,6.06E-03,5.82E-03,0.9994717,0.005764514,0.2327676,0.2591288,0.1713156,0.1015543,0.4104267,7.90E-02,0.004031321,0.347157,0.5,0.7131752,0.3253693,0.02303622,0.1317353,0.1783867,,0.5207899,0.3262298,,0.025,,,,,,,0.04287567,0.02451223,0.06915963,0.3,0.01072236,0.03453252,0.25,0.1314044,,0.02046365,,,,,,
